college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Academy Of Massage And Bodywork,"Bear, DE",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Academy Of Radio And Television Broadcasting,"Huntington Beach, CA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Academy Of Vocal Arts,"Philadelphia, PA",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Ada University,"Baku, Azerbaijan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Ahmedabad University,"Ahmedabad, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Al Akhawayn University,"Ifrane, Morocco",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alhambra Medical University,"Alhambra, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Alliance Computing Solutions Flushing,"Flushing, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Alliant International University,"San Diego, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Amberton University,"Garland, TX",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
American Academy Of Health And Wellness,"Saint Paul, MN",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
American Medical Academy,"Miami, FL",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
American National University Louisville,"Louisville, KY",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
American National University Nashville,"Nashville, TN",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
American Sentinel College Of Nursing And Health Sciences At Post University,"Waterbury, CT",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
American University in Bulgaria,"Blagoevgrad, Bulgaria",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
American University in Dubai,"Dubai, United Arab Emirates",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
American University of Afghanistan,"Kabul, Afghanistan",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
American University Of Armenia,"Yerevan, Armenia",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
American University of Kuwait,"Safat, Kuwait",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
American University of Myanmar,"Yangon, Myanmar",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
American University of Paris,"Paris, France",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
American University of Rome,"Rome, Italy",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
American University of Sharjah,"Sharjah, United Arab Emirates",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
American University of Technology: Lebanon,"Fidar, Lebanon",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
American University of the Caribbean School of Medicine,"Sint Maarten, Sint Maarten (Dutch Part)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Anant National University Sanskardham Campus,"Ahmedabad, India",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Anglia Ruskin University,"Cambridge, United Kingdom",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Antioch University Los Angeles,"Culver City, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Antioch University Santa Barbara,"Santa Barbara, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Arizona School Of Acupuncture And Oriental Medicine,"Tucson, AZ",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Arizona State University Downtown Phoenix,"Phoenix, AZ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arts Science & Technology University in Lebanon,"Beirut, Lebanon",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Arts University Bournemouth,"Poole, United Kingdom",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Ashland County West Holmes Career Center,"Ashland, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Ashoka University,"Sonepat, India",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Ashworth College,"Peachtree Corners, GA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Athens State University,"Athens, AL",4-year,Public,Small,Suburban,Unknown,Unknown,Unknown
Atlanta Technical College,"Atlanta, GA",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Atlantic Institute Of Oriental Medicine,"Fort Lauderdale, FL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Atria University,"Bangalore, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Aveda Institute Portland,"Portland, OR",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Avera McKennan School Of Radiologic Technology,"Sioux Falls, SD",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Avera Sacred Heart Hospital School Of Radiologic Technology,"Yankton, SD",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Azim Premji University,"Bengaluru, India",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Bahamas Agriculture And Marine Science Institute,"Sa Andros Bahama Village, Bahamas",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Bakke Graduate University,"Dallas, TX",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Bangor University,"Bangor, United Kingdom",4-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Bard College Berlin,"Berlin, Germany",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Bastyr University,"Kenmore, WA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Bath Spa University Newton Park,"Bath, United Kingdom",4-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Bennett University,"Greater Noida, India",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Bergin University of Canine Studies,"Penngrove, CA",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Berkowits School of Electrolysis,"Forest Hills, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Bermuda College,"Paget, Bermuda",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Bidwell Training Center,"Pittsburgh, PA",Less than 2-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Birzeit University,"Birzeit, Palestine, State of",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Bishop's University,"Sherbrooke, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Blessing-Rieman College of Nursing & Health Sciences,"Quincy, IL",4-year,Private,Small,Urban,Unknown,Unknown,Unknown
Board of Cooperative Educational Services Eastern Suffolk,"Riverhead, NY",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Board of Cooperative Educational Services Onondaga Cortland Madison,"Liverpool, NY",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Bon Secours St Mary's Hospital School of Medical Imaging,"Richmond, VA",Unknown,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Bond University,"Robina, Australia",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Bottega University,"Salt Lake City, UT",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Brescia University College,"London, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
BridgeValley Community And Technical College Montgomery,"Montgomery, WV",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Brunel University London,"Uxbridge, United Kingdom",Unknown,Public,Unknown,Suburban,Unknown,Unknown,Unknown
Brussels School Of Governance Vesalius College,"Brussels, Belgium",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bryant & Stratton College: Amherst,"Getzville, NY",2-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Bryant & Stratton College: Henrietta,"Rochester, NY",2-year,Unknown,Small,Urban,Unknown,Unknown,Unknown
Bryant & Stratton College: Richmond,"North Chesterfield, VA",2-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Bryant & Stratton College: Solon,"Eastlake, OH",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Bryant & Stratton College: Syracuse,"Syracuse, NY",2-year,Private,Small,Urban,Unknown,Unknown,Unknown
Bryant and Stratton College Hampton,"Hampton, VA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bryant And Stratton College Orchard Park,"Orchard Park, NY",2-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Buckeye Hills Career Center,"Thurman, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Byzantine Catholic Seminary Of Saints Cyril And Methodius,"Pittsburgh, PA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Cabell County Career Technology Center,"Huntington, WV",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
CALC Institute Of Technology,"Alton, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
California Coast University,"Santa Ana, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
California Institute Of Advanced Management,"Alhambra, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
California Institute of Integral Studies,"San Francisco, CA",4-year,Private,Small,Urban,Unknown,Unknown,Unknown
California Intercontinental University,"Irvine, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
California University of Management and Sciences,"Anaheim, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Cambridge University,"Cambridge, United Kingdom",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Canadian Valley Technology Center El Reno,"El Reno, OK",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Cardiff University,"Cardiff, United Kingdom",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
Career And Technology Education Centers Of Licking County,"Newark, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Careers Unlimited,"Orem, UT",4-year,Unknown,Small,Suburban,Unknown,Unknown,Unknown
Carl Benz School Mechanical Engineering College KIT,"Karlsruhe, Germany",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Carleton University,"Ottawa, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Catholic Distance University,"Charles Town, WV",4-year,Private,Small,Rural,Unknown,Unknown,Unknown
Cattaraugus Allegany Erie Wyoming Board of Cooperative Educational Services Prac...,"Olean, NY",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Central Yeshiva Beth Joseph,"Brooklyn, NY",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Charles H McCann Technical School,"North Adams, MA",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Charles University Faculty of Medicine Hradec Kralove,"Hradec Kralove, Czechia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Charter College Vancouver,"Vancouver, WA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Chattanooga College,"Chattanooga, TN",2-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Chief Dull Knife College,"Lame Deer, MT",2-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Christine Valmy International School,"New York, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Cincinnati College of Mortuary Science,"Cincinnati, OH",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
City University London,"London, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
City University Of Hong Kong,"Kowloon, Hong Kong",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
City University of New York: Guttman Community College,"New York, NY",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
City University of Seattle,"Seattle, WA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Clinton Community College,"Clinton, IA",2-year,Public,Unknown,Suburban,Unknown,Unknown,Unknown
CMKL University,"Bangkokladkrabang, Thailand",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Coastal Pines Technical College Jesup,"Jesup, GA",2-year,Public,Unknown,Rural,Unknown,Unknown,Unknown
Cochran School of Nursing,"Yonkers, NY",2-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Colleges Of Law Ventura,"Ventura, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Colorado Chinese Medicine University,"Denver, CO",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Colorado School of Healing Arts,"Lakewood, CO",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$45K,Unknown
Community College of the Air Force,"Montgomery, AL",2-year,Public,Unknown,Suburban,Unknown,Unknown,Unknown
Concordia University of Edmonton,"Edmonton, Canada",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Concordia University: SGW Campus,"Montreal, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
CQUniversity Rockhampton North,"Rockhampton Nth, Australia",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Cuyahoga Valley Career Center,"Brecksville, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Czech College,"Prague, Czechia",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Dalhousie University,"Halifax, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Daoist Traditions College Of Chinese Medical Arts,"Asheville, NC",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
De La Salle University,"Manila, Philippines",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Deep Springs College,"Big Pine, CA",2-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
DeHart Technical School,"Modesto, CA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Dental Assistant Pro LLC Columbus,"Westerville, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Denver School of Nursing,"Denver, CO",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
"Deree College, The American College of Greece","Athens, Greece",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DeVry University: Online,"Addison, IL",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DeVry University: Orlando,"Orlando, FL",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
DeVry University: San Diego,"San Diego, CA",Unknown,Private,Small Graduation rate not available Average annual cost after aid not available SAT score range not available,Unknown,Unknown,Unknown,Unknown
Doral College,"Doral, FL",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Dubai Institute Of Design And Innovation,"Dubai, United Arab Emirates",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Duke Kunshan University,"Kunshan, China",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Dunlap-Stone University,"Phoenix, AZ",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Durham University,"Durham, United Kingdom",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
East West College Of The Healing Arts,"Portland, OR",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Eastern School Of Acupuncture And Traditional Medicine,"Bloomfield, NJ",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Ecole Hoteliere de Lausanne,"Lausanne, Switzerland",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ecumenical Theological Seminary,"Detroit, MI",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Edinburgh Napier University,"Edinburgh, United Kingdom",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Emirates Academy of Hospitality Management,"Dubai, United Arab Emirates",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Epic Bible College,"Sacramento, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Erasmus University College,"Rotterdam, Netherlands",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
ESCP Europe Business School London,"London, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Estonian University Of Life Sciences,"Tartu, Estonia",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Everest University: Orange Park,"Orange Park, FL",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ex'pression College,"Emeryville, CA",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Excelsior University,"Albany, NY",4-year,Private,Large,Suburban,Unknown,Unknown,Unknown
Faith Theological Seminary And Christian College,"Tampa, FL",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Firelands Regional Medical Center School Of Nursing,"Sandusky, OH",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Flagler College Tallahassee,"Tallahassee, FL",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FLAME University,"Pune, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Florence Institute Of Design International,"Firenze, Italy",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Florida College Of Integrative Medicine,"Orlando, FL",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Florida Institute Of Ultrasound Inc,"Pensacola, FL",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Florida Technical College: Deland,"Deland, FL",2-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Florida Technical College: Lakeland,"Lakeland, FL",2-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Four County Career Center,"Archbold, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Francis Tuttle Technology Center,"Oklahoma City, OK",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Frankfurt School Of Finance And Management GMBH,"Frankfurt am Main, Germany",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Franklin University Switzerland,"Sorengo, Switzerland",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Georgetown University in Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Glasgow Caledonian New York College,"New York, NY",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Glasgow School of Art,"Glasgow, United Kingdom",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Global University,"Springfield, MO",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Golden Gate University,"San Francisco, CA",4-year,Private,Small,Urban,Unknown,Unknown,Unknown
Goldfarb School Of Nursing At Barnes Jewish College,"Saint Louis, MO",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Gordon Cooper Technology Center,"Shawnee, OK",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Gratz College,"Elkins Park, PA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Great Oaks Career Campuses,"Cincinnati, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Great Plains Technology Center,"Lawton, OK",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Greater Johnstown Career And Technology Center,"Johnstown, PA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Griffith University,"Brisbane, Australia",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Gutenberg College,"Eugene, OR",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Haaga-Helia University Of Applied Sciences,"Helsinki, Finland",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Hamad Bin Khalifa University,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Haven University,"Garden Grove, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Hawaii Tokai International College,"Kapolei, HI",2-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Hazleton Area Career Center,"Hazle Township, PA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Healing Arts Center,"Saint Louis, MO",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Healing Hands School Of Holistic Health,"Escondido, CA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$48K,Unknown
Heriot-Watt University,"Edinburgh, United Kingdom",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Herzing University: Toledo,"Toledo, OH",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Ho Chi Minh University Of Technology,"Ho Chi Minh, Viet Nam",4-year,Unknown,Small,Urban,Unknown,Unknown,Unknown
Holy Trinity Orthodox Seminary,"Jordanville, NY",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Hong Kong Baptist University,"Kowloon, Hong Kong",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Hong Kong Polytechnic University,"Kowloon, Hong Kong",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Imperial College of London,"London, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
"Independent University, Bangladesh","Dhaka, Bangladesh",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Indian Capital Technology Center Muskogee,"Muskogee, OK",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Indian School of Business and Finance,"New Delhi, India",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Indiana County Technology Center,"Indiana, PA",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Indiana University-Purdue University Columbus,"Columbus, IN",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Institute For Doctoral Studies In The Visual Arts,"Portland, ME",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Institute Of Buddhist Studies,"Berkeley, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Institute Of Clinical Acupuncture And Oriental Medicine,"Honolulu, HI",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Institute of Culinary Education,"New York, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Institute Of Culinary Education,"Pasadena, CA",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
Institute Of Medical Ultrasound,"Atlanta, GA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$48K,Unknown
Institute Of World Politics,"Washington, DC",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Instituto Tecnologico Autonomo de Mexico,"Mexico City, Mexico",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Instituto Tecnologico y de Estudios Superiores de Occidente,"Tlaquepaque, Mexico",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
International Christian University,"Tokyo, Japan",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
International Institute For Restorative Practices,"Bethlehem, PA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
International School Of Skin Nailcare And Massage Therapy,"Atlanta, GA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$44K,Unknown
Istanbul Medipol University,"Istanbul, Turkey",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Jacobs University Bremen,"Bremen, Germany",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
James Cook University,"Townsville, Australia",Unknown,Public,Unknown,Suburban,Unknown,Unknown,Unknown
John Hopkins Peabody Institute,"Baltimore, MD",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Jose Maria Vargas University,"Pembroke Pines, FL",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Keele University,"Keele, United Kingdom",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Keio University,"Tokyo, Japan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
King's College London,"London, United Kingdom",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kingston University London,"Kingston upon Thames, United Kingdom",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Knox County Career Center,"Mount Vernon, OH",Less than 2-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown
Koc University,"Istanbul, Turkey",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Ku Leuven University,"Leuven, Belgium",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Kwantlen Polytechnic University,"Surrey, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
L3Harris Flight Academy,"Sanford, FL",Less than 2-year,Unknown,Unknown,Rural,Unknown,$116K,Unknown
Lahore University of Management Sciences,"Lahore, Pakistan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Lakehead University,"Thunder Bay, Canada",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Lakeview College of Nursing,"Danville, IL",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Lakewood School of Therapeutic Massage,"Port Huron, MI",Less than 2-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Learnet Academy,"Los Angeles, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Leeds Beckett University,"Leeds, United Kingdom",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Leiden University,"Leiden, Netherlands",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Leiden University College The Hague,"The Hague, Netherlands",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Les Roches International School of Hotel Management,"Bluche, Switzerland",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Les Roches International School of Hotel Management Marbella,"Marbella, Spain",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Loma Linda University,"Loma Linda, CA",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Los Angeles County College of Nursing and Allied Health,"Los Angeles, CA",2-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Los Angeles Pacific College,"Los Angeles, CA",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown
Louisiana State University Health Sciences Center New Orleans,"New Orleans, LA",4-year,Public,Small,Urban,Unknown,Unknown,Unknown
Lumbee River Christian College,"Shannon, NC",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Maastricht University,"Maastricht, Netherlands",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Macquarie University Sydney Australia,"Macquarie Park, Australia",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Mahidol International Dental School,"Bangkok, Thailand",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Mahidol University International College,"Salaya, Thailand",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Maine Media College,"Rockport, ME",4-year,Private,Unknown,Rural,Unknown,Unknown,Unknown
Massey University,"Palmerston North, New Zealand",Unknown,Public,Small,Suburban,Unknown,Unknown,Unknown
McGill University,"Montreal, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
McMaster University,"Hamilton, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown
Medaille College: Rochester,"Rochester, NY",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Medical University of South Carolina,"Charleston, SC",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown
Memorial University of Newfoundland,"St. John's, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Mercy St Lukes School of Radiologic Technology,"Cedar Rapids, IA",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Meridian University,"Petaluma, CA",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown
Metro Business College: Jefferson City,"Jefferson City, MO",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
Metro Business College: Rolla,"Rolla, MO",2-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown
